Sub-Category,% Sales Proft Ratio,% Sales Proft Ratio L,Profit Ratio,Category,City,Country,Customer Name,Discount,Manufacturer,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State
Binders,-0.73,-73,-0.73,Office Supplies,Newark,United States,Michael Moore,0.7,Avery,1,1/14/2011,CA-2011-118192,43055,Avery Metallic Poly Binders,-3,2,East,3,Consumer,1/19/2011,Standard Class,Ohio
Paper,0.35,35,0.35,Office Supplies,Newark,United States,Michael Moore,0.2,Xerox,1,1/14/2011,CA-2011-118192,43055,Xerox 1923,13,7,East,37,Consumer,1/19/2011,Standard Class,Ohio
Art,0.33,33,0.33,Office Supplies,San Francisco,United States,Brian Dahlen,0,Other,1,1/14/2011,CA-2011-157147,94109,4009 Highlighters by Sanford,7,5,West,20,Consumer,1/19/2011,Standard Class,California
Storage,0.18,18,0.18,Office Supplies,San Francisco,United States,Brian Dahlen,0,Tennsco,1,1/14/2011,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,239,5,West,1326,Consumer,1/19/2011,Standard Class,California
Bookcases,-0.86,-86,-0.86,Furniture,Philadelphia,United States,Brendan Sweed,0.5,Sauder,1,1/15/2011,CA-2011-149524,19140,Sauder Cornerstone Collection Library,-53,4,East,62,Corporate,1/16/2011,First Class,Pennsylvania
Accessories,0.44,44,0.44,Technology,Roswell,United States,Erica Hackney,0,Logitech,1,1/16/2011,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,66,5,South,150,Consumer,1/18/2011,First Class,Georgia
Furnishings,0.23,23,0.23,Furniture,Philadelphia,United States,Delfina Latchford,0.2,DAX,1,1/17/2011,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,29,6,East,127,Consumer,1/19/2011,Second Class,Pennsylvania
Binders,-0.73,-73,-0.73,Office Supplies,Philadelphia,United States,Delfina Latchford,0.7,GBC,1,1/17/2011,CA-2011-115791,19134,GBC Linen Binding Covers,-14,2,East,19,Consumer,1/19/2011,Second Class,Pennsylvania
Labels,0.34,34,0.34,Office Supplies,Philadelphia,United States,Delfina Latchford,0.2,Other,1,1/17/2011,CA-2011-115791,19134,Round Specialty Laser Printer Labels,10,3,East,30,Consumer,1/19/2011,Second Class,Pennsylvania
Phones,-0.25,-25,-0.25,Technology,Philadelphia,United States,Delfina Latchford,0.4,AT&T,1,1/17/2011,CA-2011-115791,19134,AT&T 841000 Phone,-31,3,East,124,Consumer,1/19/2011,Second Class,Pennsylvania
Appliances,0.1,10,0.1,Office Supplies,Springfield,United States,David Wiener,0.2,Fellowes,1,1/19/2011,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,6,4,West,65,Corporate,1/22/2011,Second Class,Oregon
Bookcases,-1.77,-177,-1.77,Furniture,Scottsdale,United States,Toby Swindell,0.7,O'Sullivan,1,1/20/2011,CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,-321,5,West,181,Consumer,1/21/2011,First Class,Arizona
Binders,-0.73,-73,-0.73,Office Supplies,Scottsdale,United States,Toby Swindell,0.7,GBC,1,1/20/2011,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-24,10,West,32,Consumer,1/21/2011,First Class,Arizona
Envelopes,0.34,34,0.34,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,Tyvek,1,1/20/2011,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",37,5,West,109,Consumer,1/21/2011,First Class,Arizona
Paper,0.35,35,0.35,Office Supplies,Scottsdale,United States,Toby Swindell,0.2,TOPS,1,1/20/2011,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",20,4,West,56,Consumer,1/21/2011,First Class,Arizona
Furnishings,0.3,30,0.3,Furniture,Los Angeles,United States,Mark Van Huff,0,Eldon,1,1/21/2011,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6,2,West,19,Consumer,1/26/2011,Standard Class,California
Paper,0.48,48,0.48,Office Supplies,Los Angeles,United States,Mark Van Huff,0,Wirebound,1,1/21/2011,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",9,2,West,19,Consumer,1/26/2011,Standard Class,California
Furnishings,0.11,11,0.11,Furniture,Westland,United States,Xylona Preis,0,Eldon,1,1/21/2011,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30,3,Central,273,Consumer,1/27/2011,Standard Class,Michigan
Furnishings,0.33,33,0.33,Furniture,Westland,United States,Xylona Preis,0,Ultra,1,1/21/2011,CA-2011-167927,48185,Ultra Door Push Plate,5,3,Central,15,Consumer,1/27/2011,Standard Class,Michigan
Chairs,0.21,21,0.21,Furniture,Jonesboro,United States,Hunter Lopez,0,Hon,1,1/21/2011,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224,3,South,1068,Consumer,1/27/2011,Standard Class,Arkansas
Furnishings,0.3,30,0.3,Furniture,Jonesboro,United States,Hunter Lopez,0,Eldon,1,1/21/2011,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12,4,South,39,Consumer,1/27/2011,Standard Class,Arkansas
Appliances,0.38,38,0.38,Office Supplies,Westland,United States,Xylona Preis,0.1,Holmes,1,1/21/2011,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",94,4,Central,248,Consumer,1/27/2011,Standard Class,Michigan
Art,0.29,29,0.29,Office Supplies,Westland,United States,Xylona Preis,0,Panasonic,1,1/21/2011,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,13,3,Central,44,Consumer,1/27/2011,Standard Class,Michigan
Binders,0.47,47,0.47,Office Supplies,Westland,United States,Xylona Preis,0,Acco,1,1/21/2011,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",9,5,Central,19,Consumer,1/27/2011,Standard Class,Michigan
Binders,0.45,45,0.45,Office Supplies,Westland,United States,Xylona Preis,0,Storex,1,1/21/2011,CA-2011-167927,48185,Storex Dura Pro Binders,13,5,Central,30,Consumer,1/27/2011,Standard Class,Michigan
Storage,0.29,29,0.29,Office Supplies,Westland,United States,Xylona Preis,0,Eldon,1,1/21/2011,CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,4,1,Central,14,Consumer,1/27/2011,Standard Class,Michigan
Storage,0.24,24,0.24,Office Supplies,Westland,United States,Xylona Preis,0,Fellowes,1,1/21/2011,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,16,2,Central,67,Consumer,1/27/2011,Standard Class,Michigan
Art,0.27,27,0.27,Office Supplies,Jonesboro,United States,Hunter Lopez,0,Newell,1,1/21/2011,US-2011-147627,72401,Newell 327,2,3,South,7,Consumer,1/27/2011,Standard Class,Arkansas
Art,0.29,29,0.29,Office Supplies,Jonesboro,United States,Hunter Lopez,0,Newell,1,1/21/2011,US-2011-147627,72401,Newell 351,7,7,South,23,Consumer,1/27/2011,Standard Class,Arkansas
Envelopes,0.47,47,0.47,Office Supplies,Jonesboro,United States,Hunter Lopez,0,Other,1,1/21/2011,US-2011-147627,72401,Staples,11,3,South,23,Consumer,1/27/2011,Standard Class,Arkansas
Binders,-0.77,-77,-0.77,Office Supplies,Smyrna,United States,Muhammed MacIntyre,0.7,GBC,1,1/21/2011,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,-52,1,South,67,Corporate,1/27/2011,Standard Class,Tennessee
Phones,0.26,26,0.26,Technology,Jonesboro,United States,Hunter Lopez,0,Apple,1,1/21/2011,US-2011-147627,72401,Apple iPhone 5C,182,7,South,700,Consumer,1/27/2011,Standard Class,Arkansas
Furnishings,0.16,16,0.16,Furniture,Miami,United States,Tom Boeckenhauer,0.2,Ultra,1,1/22/2011,CA-2011-110422,33180,Ultra Door Pull Handle,4,3,South,25,Consumer,1/24/2011,Second Class,Florida
Fasteners,0,0,0,Office Supplies,Lafayette,United States,Speros Goranitis,0,Alliance,1,1/24/2011,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",0,3,Central,6,Consumer,1/28/2011,Standard Class,Indiana
Paper,0.48,48,0.48,Office Supplies,Las Vegas,United States,Ionia McGrath,0,Xerox,1,1/24/2011,CA-2011-102645,89115,Xerox 195,19,6,West,40,Consumer,1/29/2011,Standard Class,Nevada
Bookcases,0.28,28,0.28,Furniture,Rapid City,United States,Carol Adams,0,SAFCO,1,1/27/2011,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",40,2,Central,142,Corporate,1/30/2011,First Class,South Dakota
Binders,0.47,47,0.47,Office Supplies,Rapid City,United States,Carol Adams,0,Wilson Jones,1,1/27/2011,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5,2,Central,11,Corporate,1/30/2011,First Class,South Dakota
Furnishings,0.36,36,0.36,Furniture,Alexandria,United States,Shirley Daniels,0,Eldon,1,1/27/2011,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,4,3,South,12,Home Office,02-01-2011,Standard Class,Virginia
Furnishings,0.49,49,0.49,Furniture,Alexandria,United States,Shirley Daniels,0,GE,1,1/27/2011,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",31,3,South,63,Home Office,02-01-2011,Standard Class,Virginia
Paper,0.48,48,0.48,Office Supplies,Alexandria,United States,Shirley Daniels,0,Eureka,1,1/27/2011,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",9,3,South,19,Home Office,02-01-2011,Standard Class,Virginia
Paper,0.5,50,0.5,Office Supplies,Alexandria,United States,Shirley Daniels,0,REDIFORM,1,1/27/2011,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",8,2,South,17,Home Office,02-01-2011,Standard Class,Virginia
Storage,0,0,0,Office Supplies,Alexandria,United States,Shirley Daniels,0,SAFCO,1,1/27/2011,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",0,8,South,490,Home Office,02-01-2011,Standard Class,Virginia
Phones,0.28,28,0.28,Technology,Alexandria,United States,Shirley Daniels,0,Jabra,1,1/27/2011,US-2011-155502,22304,Jabra SPEAK 410,53,2,South,188,Home Office,02-01-2011,Standard Class,Virginia
Phones,0,0,0,Technology,Alexandria,United States,Shirley Daniels,0,Other,1,1/27/2011,US-2011-155502,22304,Macally Suction Cup Mount,0,13,South,155,Home Office,02-01-2011,Standard Class,Virginia
Tables,-0.05,-5,-0.05,Furniture,San Diego,United States,Ed Jacobs,0.2,Balt,1,1/28/2011,US-2011-117163,92037,Balt Split Level Computer Training Table,-17,3,West,333,Consumer,02-03-2011,Standard Class,California
Art,0.33,33,0.33,Office Supplies,San Diego,United States,Ed Jacobs,0,Dixon,1,1/28/2011,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,12,4,West,36,Consumer,02-03-2011,Standard Class,California
Storage,0.25,25,0.25,Office Supplies,San Diego,United States,Ed Jacobs,0,Other,1,1/28/2011,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,14,1,West,57,Consumer,02-03-2011,Standard Class,California
Binders,0.34,34,0.34,Office Supplies,New York City,United States,Jasper Cacioppo,0.2,Pressboard,1,1/29/2011,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1,1,East,4,Consumer,02-04-2011,Standard Class,New York
Paper,0.45,45,0.45,Office Supplies,Detroit,United States,Mike Vittorini,0,Xerox,1,1/31/2011,CA-2011-134103,48234,Xerox 1972,5,2,Central,11,Consumer,02-05-2011,Standard Class,Michigan
Storage,0.03,3,0.03,Office Supplies,Detroit,United States,Mike Vittorini,0,Space Solutions,1,1/31/2011,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,7,2,Central,230,Consumer,02-05-2011,Standard Class,Michigan
Bookcases,0.01,1,0.01,Furniture,Mission Viejo,United States,Liz Carlisle,0.15,Sauder,1,02-01-2011,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",3,2,West,291,Consumer,02-03-2011,First Class,California
Accessories,0.44,44,0.44,Technology,Green Bay,United States,Bradley Drucker,0,Enermax,1,02-02-2011,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,206,6,Central,469,Consumer,02-04-2011,First Class,Wisconsin
Fasteners,0.47,47,0.47,Office Supplies,San Diego,United States,Cynthia Delaney,0,Other,1,02-03-2011,CA-2011-139857,92037,Staples,6,5,West,12,Home Office,02-07-2011,Standard Class,California
Binders,-0.67,-67,-0.67,Office Supplies,Saint Petersburg,United States,Eric Barreto,0.7,Other,1,02-03-2011,CA-2011-123400,33710,Surelock Post Binders,-12,2,South,18,Consumer,02-10-2011,Standard Class,Florida
Phones,0.08,8,0.08,Technology,Saint Petersburg,United States,Eric Barreto,0.2,AT&T,1,02-03-2011,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,14,5,South,181,Consumer,02-10-2011,Standard Class,Florida
Binders,0.33,33,0.33,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,Avery,1,02-04-2011,CA-2011-111059,98105,Avery Durable Poly Binders,4,3,West,13,Consumer,02-07-2011,Second Class,Washington
Binders,0.33,33,0.33,Office Supplies,Seattle,United States,Tom Boeckenhauer,0.2,Ibico,1,02-04-2011,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,27,2,West,84,Consumer,02-07-2011,Second Class,Washington
Binders,0.35,35,0.35,Office Supplies,Escondido,United States,Mark Haberlin,0.2,GBC,1,02-05-2011,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",6,2,West,17,Corporate,02-09-2011,Second Class,California
Binders,0.35,35,0.35,Office Supplies,San Diego,United States,Deborah Brumfield,0.2,GBC,1,02-05-2011,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,29,3,West,83,Home Office,02-09-2011,Standard Class,California
Paper,0.47,47,0.47,Office Supplies,San Diego,United States,Deborah Brumfield,0,Message Book,1,02-05-2011,CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",16,4,West,34,Home Office,02-09-2011,Standard Class,California
Labels,0.48,48,0.48,Office Supplies,Chesapeake,United States,Neil Ducich,0,Avery,1,02-07-2011,CA-2011-131905,23320,Avery 480,7,4,South,15,Corporate,02-10-2011,First Class,Virginia
Phones,0.26,26,0.26,Technology,Chesapeake,United States,Neil Ducich,0,Other,1,02-07-2011,CA-2011-131905,23320,Aastra 57i VoIP phone,42,1,South,162,Corporate,02-10-2011,First Class,Virginia
Phones,0.29,29,0.29,Technology,Chesapeake,United States,Neil Ducich,0,AT&T,1,02-07-2011,CA-2011-131905,23320,AT&T CL82213,42,5,South,145,Corporate,02-10-2011,First Class,Virginia
Binders,-1.65,-165,-1.65,Office Supplies,Romeoville,United States,Delfina Latchford,0.8,Avery,1,02-07-2011,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",-15,2,Central,9,Consumer,02-11-2011,Second Class,Illinois
Storage,0.15,15,0.15,Office Supplies,New York City,United States,Chris Selesnick,0,Acco,1,02-08-2011,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,10,4,East,65,Corporate,02-11-2011,Second Class,New York
Accessories,0.43,43,0.43,Technology,Linden,United States,Cyma Kinney,0,Maxell,1,02-08-2011,CA-2011-107755,7036,Maxell DVD-RAM Discs,50,7,East,115,Corporate,2/13/2011,Standard Class,New Jersey
Furnishings,0.38,38,0.38,Furniture,North Las Vegas,United States,Nathan Mautz,0,Master Caster,1,02-09-2011,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",6,2,West,15,Home Office,02-10-2011,First Class,Nevada
Chairs,0.25,25,0.25,Furniture,Columbia,United States,Guy Armstrong,0,Global,1,02-12-2011,CA-2011-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",15,1,Central,61,Consumer,2/16/2011,Second Class,Missouri
Furnishings,0.16,16,0.16,Furniture,Columbia,United States,Guy Armstrong,0,Other,1,02-12-2011,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",53,3,Central,333,Consumer,2/16/2011,Second Class,Missouri
Tables,0.06,6,0.06,Furniture,Chesapeake,United States,Natalie Fritzler,0,Hon,1,02-12-2011,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,75,6,South,1256,Consumer,2/16/2011,Standard Class,Virginia
Binders,0.47,47,0.47,Office Supplies,Columbia,United States,Guy Armstrong,0,Other,1,02-12-2011,CA-2011-168368,65203,VariCap6 Expandable Binder,24,3,Central,52,Consumer,2/16/2011,Second Class,Missouri
Binders,0.46,46,0.46,Office Supplies,Columbia,United States,Guy Armstrong,0,Wilson Jones,1,02-12-2011,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,4,2,Central,10,Consumer,2/16/2011,Second Class,Missouri
Labels,0.46,46,0.46,Office Supplies,Columbia,United States,Guy Armstrong,0,Avery,1,02-12-2011,CA-2011-168368,65203,Avery 483,7,3,Central,15,Consumer,2/16/2011,Second Class,Missouri
Storage,0.04,4,0.04,Office Supplies,Columbia,United States,Guy Armstrong,0,Fellowes,1,02-12-2011,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,3,2,Central,65,Consumer,2/16/2011,Second Class,Missouri
Binders,0.47,47,0.47,Office Supplies,Chesapeake,United States,Natalie Fritzler,0,Wilson Jones,1,02-12-2011,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,8,2,South,17,Consumer,2/16/2011,Standard Class,Virginia
Accessories,0.44,44,0.44,Technology,Chesapeake,United States,Natalie Fritzler,0,Enermax,1,02-12-2011,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,103,3,South,234,Consumer,2/16/2011,Standard Class,Virginia
Chairs,-0.19,-19,-0.19,Furniture,Concord,United States,Sanjit Chand,0.2,Global,1,2/13/2011,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",-24,2,West,130,Consumer,2/19/2011,Standard Class,California
Appliances,0.28,28,0.28,Office Supplies,Seattle,United States,Marina Lichtenstein,0,Belkin,1,2/15/2011,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,23,2,West,82,Corporate,2/19/2011,Standard Class,Washington
Supplies,0.02,2,0.02,Office Supplies,Seattle,United States,Marina Lichtenstein,0,Other,1,2/15/2011,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,5,2,West,239,Corporate,2/19/2011,Standard Class,Washington
Accessories,0.36,36,0.36,Technology,Seattle,United States,Marina Lichtenstein,0,Logitech,1,2/15/2011,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,86,3,West,240,Corporate,2/19/2011,Standard Class,Washington
Paper,0.38,38,0.38,Office Supplies,Houston,United States,Shui Tom,0.2,Other,1,2/15/2011,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",6,3,Central,16,Consumer,2/20/2011,Second Class,Texas
Binders,0.34,34,0.34,Office Supplies,Seattle,United States,Barry Französisch,0.2,Pressboard,1,2/16/2011,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,7,5,West,21,Corporate,2/20/2011,Standard Class,Washington
Appliances,-1.75,-175,-1.75,Office Supplies,Dallas,United States,Michael Nguyen,0.8,Holmes,1,2/17/2011,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",-14,2,Central,8,Consumer,2/22/2011,Standard Class,Texas
Binders,-1.6,-160,-1.6,Office Supplies,Dallas,United States,Michael Nguyen,0.8,Wilson Jones,1,2/17/2011,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,-2,3,Central,1,Consumer,2/22/2011,Standard Class,Texas
Art,0.16,16,0.16,Office Supplies,Chicago,United States,Delfina Latchford,0.2,Other,1,2/18/2011,CA-2011-154165,60653,Staples,9,14,Central,54,Consumer,2/25/2011,Standard Class,Illinois
Furnishings,-0.45,-45,-0.45,Furniture,Lubbock,United States,Troy Blackwell,0.6,DAX,1,2/19/2011,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",-11,5,Central,25,Consumer,2/19/2011,Same Day,Texas
Storage,-0.2,-20,-0.2,Office Supplies,Arlington,United States,Aaron Bergman,0.2,Akro,1,2/19/2011,CA-2011-152905,76017,Akro Stacking Bins,-3,2,Central,13,Consumer,2/25/2011,Standard Class,Texas
